===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	493:		4003 D  4004 D  4005 D  0    
Set 	494:		4003 D  4004 D  4005 D  0    
Set 	495:		4003 D  4004 D  4005 D  0    
Set 	496:		4003 D  4004 D  4005 D  0    
Set 	497:		4003 D  4004 D  4005 D  0    
Set 	498:		4003 D  4004 D  4005 D  0    
Set 	499:		4003 D  4004 D  4005 D  0    
Set 	500:		4003 D  4004 D  4005 D  0    
Set 	501:		4003 D  4004 D  4005 D  0    
Set 	502:		4003 D  4004 D  4005 D  0    
Set 	503:		4003 D  4004 D  4005 D  0    
Set 	504:		4003 D  4004 D  4005 D  0    
Set 	505:		4003 D  4004 D  4005 D  0    
Set 	506:		4003 D  4004 D  4005 D  0    
Set 	507:		4003 D  4004 D  4005 D  0    
Set 	508:		4003 D  4004 D  4005 D  0    
Set 	509:		4003 D  4004 D  4005 D  0    
Set 	510:		4003 D  4004 D  4005 D  0    
Set 	511:		4003 D  4004 D  4005 D  0    
Set 	512:		4003 D  4004 D  4005 D  0    
Set 	513:		4003 D  4004 D  4005 D  0    
Set 	514:		4003 D  4004 D  4005 D  0    
Set 	515:		4003 D  4004 D  4005 D  0    
Set 	516:		4003 D  4004 D  4005 D  0    
Set 	517:		4003 D  4004 D  4005 D  0    
Set 	518:		4003 D  4004 D  4005 D  0    
Set 	519:		38    4003 D  4004 D  4005 D  
Set 	520:		38    4003 D  4004 D  4005 D  
Set 	521:		38    4003 D  4004 D  4005 D  
Set 	522:		4003 D  4004 D  4005 D  0    
Set 	523:		4003 D  4004 D  4005 D  0    
Set 	524:		4003 D  4004 D  4005 D  0    
Set 	525:		4003 D  4004 D  4005 D  0    
Set 	526:		4003 D  4004 D  4005 D  0    
Set 	527:		4003 D  4004 D  4005 D  0    
Set 	528:		4003 D  4004 D  4005 D  0    
Set 	529:		4003 D  4004 D  4005 D  0    
Set 	530:		4003 D  4004 D  4005 D  0    
Set 	531:		4003 D  4004 D  4005 D  0    
Set 	532:		4003 D  4004 D  4005 D  0    
Set 	533:		4003 D  4004 D  4005 D  0    
Set 	534:		4003 D  4004 D  4005 D  0    
Set 	535:		4003 D  4004 D  4005 D  0    
Set 	536:		4003 D  4004 D  4005 D  0    
Set 	537:		4003 D  4004 D  4005 D  0    
Set 	538:		4003 D  4004 D  4005 D  0    
Set 	539:		4003 D  4004 D  4005 D  0    
Set 	540:		7b03    4003 D  4004 D  4005 D  
Set 	541:		7b03 D  4003 D  4004 D  4005 D  
Set 	542:		7b03 D  4003 D  4004 D  4005 D  
Set 	543:		7b03    4003 D  4004 D  4005 D  
Set 	544:		7b03    4003 D  4004 D  4005 D  
Set 	545:		7b03    4003 D  4004 D  4005 D  
Set 	546:		7b03    4003 D  4004 D  4005 D  
Set 	547:		7b03    4003 D  4004 D  4005 D  
Set 	548:		4003 D  4004 D  4005 D  0    
Set 	549:		7b03 D  4003 D  4004 D  4005 D  
Set 	550:		7b03 D  4003 D  4004 D  4005 D  
Set 	551:		7b03 D  4003 D  4004 D  4005 D  
Set 	552:		7b03 D  4003 D  4004 D  4005 D  
Set 	553:		7b03    4003 D  4004 D  4005 D  
Set 	554:		4003 D  4004 D  4005 D  0    
Set 	555:		4003 D  4004 D  4005 D  0    
Set 	556:		4003 D  4004 D  4005 D  0    
Set 	557:		7b03    4004 D  4003 D  4005 D  
Set 	558:		7b03    4003 D  4005 D  0    
Set 	559:		7b03    4003 D  4005 D  4004 D  
Set 	560:		4003 D  4005 D  4004 D  0    
Set 	561:		4003 D  4005 D  0    0    
Set 	562:		4003 D  4005 D  4004 D  0    
Set 	563:		4003 D  4005 D  0    0    
Set 	564:		4003 D  4005 D  0    0    
Set 	565:		4003 D  4005 D  0    0    
Set 	566:		4004 D  4003 D  4005 D  0    
Set 	567:		4003 D  4005 D  0    0    
Set 	568:		4003 D  4005 D  0    0    
Set 	569:		4003 D  4005 D  0    0    
Set 	570:		4003 D  4005 D  0    0    
Set 	571:		4003 D  4005 D  0    0    
Set 	572:		4003 D  4005 D  0    0    
Set 	573:		4003 D  4005 D  0    0    
Set 	574:		4003 D  4005 D  0    0    
Set 	575:		4003 D  4005 D  0    0    
Set 	576:		4003 D  4005 D  0    0    
Set 	577:		4003 D  4005 D  0    0    
Set 	578:		4003 D  4005 D  0    0    
Set 	579:		4003 D  4005 D  0    0    
Set 	580:		4003 D  4005 D  0    0    
Set 	581:		4003 D  4005 D  0    0    
Set 	582:		4003 D  4005 D  0    0    
Set 	583:		4003 D  4005 D  0    0    
Set 	584:		4003 D  4005 D  0    0    
Set 	585:		4003 D  4005 D  0    0    
Set 	586:		4003 D  4005 D  0    0    
Set 	587:		4003 D  4005 D  0    0    
Set 	588:		4003 D  4005 D  0    0    
Set 	589:		4003 D  4005 D  0    0    
Set 	590:		4003 D  4005 D  0    0    
Set 	591:		4003 D  4005 D  0    0    
Set 	592:		4003 D  4005 D  0    0    
Set 	593:		7b03    4003 D  4005 D  0    
