===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	612:		800a D  8006 D  
Set 	613:		8006 D  800a D  
Set 	614:		8006 D  800a D  
Set 	615:		800a D  8006 D  
Set 	616:		8006 D  800a D  
Set 	617:		800a D  8006 D  
Set 	618:		8006 D  800a D  
Set 	619:		800a D  8006 D  
Set 	620:		8006 D  800a D  
Set 	621:		8006 D  800a D  
Set 	622:		800a D  8006 D  
Set 	623:		800a D  8007 D  
Set 	624:		800a D  8007 D  
Set 	625:		8007 D  800a D  
Set 	626:		8007 D  800a D  
Set 	627:		8007 D  800a D  
Set 	628:		8007 D  800a D  
Set 	629:		800a D  8007 D  
Set 	630:		8007 D  800a D  
Set 	631:		800a D  8007 D  
Set 	632:		800a D  8007 D  
Set 	633:		800a D  8003    
Set 	634:		8003    800a D  
Set 	635:		8003    800a D  
Set 	636:		8003    800a D  
Set 	637:		800a D  8003    
Set 	638:		8003    8006 D  
Set 	639:		8003    8006 D  
Set 	640:		8007 D  800a D  
Set 	641:		800a D  8007 D  
Set 	642:		8007 D  800a D  
Set 	643:		800a D  8007 D  
Set 	644:		8007 D  800a D  
Set 	645:		8007 D  800a D  
Set 	646:		8007 D  800a D  
Set 	647:		800a D  8007 D  
Set 	648:		800a D  8007 D  
Set 	649:		8007 D  800a D  
Set 	650:		800a D  8007 D  
Set 	651:		800a D  8007 D  
Set 	652:		800a D  8007 D  
Set 	653:		800a D  8007 D  
Set 	654:		8006 D  800a D  
Set 	655:		8007 D  800a D  
Set 	656:		800a D  8007 D  
Set 	657:		8007 D  800a D  
Set 	658:		8007 D  800a D  
Set 	659:		8007 D  800a D  
Set 	660:		800a D  8005 D  
Set 	661:		800a D  8007 D  
Set 	662:		800a D  8007 D  
Set 	663:		800a D  8007 D  
Set 	664:		8007 D  800a D  
