===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	254:		10013    1000c D  1000f D  10015 D  0    0    0    0    
Set 	255:		10013    1000f D  10015 D  0    0    0    0    0    
Set 	256:		1000f D  10015 D  0    0    0    0    0    0    
Set 	257:		10013 D  1000f D  10015 D  0    0    0    0    0    
Set 	258:		108eb    1000f D  10015 D  0    0    0    0    0    
Set 	259:		1000f D  10015 D  1000d D  0    0    0    0    0    
Set 	260:		10013 D  1000f D  10015 D  0    0    0    0    0    
Set 	261:		10013 D  1000f D  10015 D  0    0    0    0    0    
Set 	262:		10013 D  1000c D  1000f D  10015 D  0    0    0    0    
Set 	263:		10000    10013 D  1000f D  10015 D  0    0    0    0    
Set 	264:		10000    10013 D  1000f D  10015 D  0    0    0    0    
Set 	265:		1084e    10000    10013 D  1000f D  10015 D  0    0    0    
Set 	266:		10000    10013 D  1000f D  10015 D  0    0    0    0    
Set 	267:		10000    10013 D  1000c D  1000f D  10015 D  0    0    0    
Set 	268:		10013 D  1000f D  10015 D  0    0    0    0    0    
Set 	269:		10013 D  1000f D  10015 D  0    0    0    0    0    
Set 	270:		10013 D  1000f D  1000e D  10015 D  0    0    0    0    
Set 	271:		10013 D  1000e D  1000f D  10015 D  0    0    0    0    
Set 	272:		10013 D  1000f D  10015 D  1000e D  0    0    0    0    
Set 	273:		10013 D  1000f D  10015 D  1000e D  0    0    0    0    
Set 	274:		1084e    10013 D  1000e D  1000f D  10015 D  0    0    0    
Set 	275:		10013 D  1000c D  1000e D  1000f D  10015 D  0    0    0    
Set 	276:		10013 D  1000c D  1000f D  10015 D  0    0    0    0    
Set 	277:		37e    10013 D  1000f D  0    0    0    0    0    
Set 	278:		37e    10013 D  1000f D  0    0    0    0    0    
Set 	279:		10013 D  1000f D  0    0    0    0    0    0    
Set 	280:		10013 D  1000c D  1000f D  0    0    0    0    0    
Set 	281:		10013 D  1000c D  1000f D  0    0    0    0    0    
Set 	282:		1000d D  10013 D  1000c D  1000f D  0    0    0    0    
Set 	283:		10013 D  1000c D  1000f D  0    0    0    0    0    
Set 	284:		10000 D  10013 D  1000f D  0    0    0    0    0    
Set 	285:		1000e D  10013 D  1000c D  1000f D  0    0    0    0    
Set 	286:		10013 D  1000f D  0    0    0    0    0    0    
Set 	287:		10013 D  1000e D  1000f D  0    0    0    0    0    
Set 	288:		108eb    10013 D  1000c D  1000f D  0    0    0    0    
Set 	289:		1004d    108eb D  10013 D  1000f D  0    0    0    0    
Set 	290:		10013 D  1000c D  1000f D  0    0    0    0    0    
Set 	291:		108eb    10000    10013 D  1000f D  0    0    0    0    
Set 	292:		108eb    10000    1004d    10013 D  1000c D  1000f D  0    0    
Set 	293:		10000    108eb    10013 D  1000c D  1000f D  1000d D  0    0    
Set 	294:		1004d    10013 D  1000c D  1000f D  1000d D  0    0    0    
Set 	295:		10013 D  1000f D  1000d D  0    0    0    0    0    
Set 	296:		1004d D  10013 D  1000c D  1000f D  1000d D  0    0    0    
Set 	297:		10013 D  1000c D  1000f D  1000d D  0    0    0    0    
Set 	298:		10013 D  1000f D  1000d D  0    0    0    0    0    
Set 	299:		10013 D  1000d D  0    0    0    0    0    0    
Set 	300:		10013 D  1000f D  1000a D  0    0    0    0    0    
Set 	301:		1000a    10013 D  1000d D  0    0    0    0    0    
Set 	302:		10000    10013 D  1000d D  0    0    0    0    0    
Set 	303:		10000    1000d D  1000f D  10013 D  0    0    0    0    
Set 	304:		10013 D  1000f D  0    0    0    0    0    0    
Set 	305:		10000    10013 D  1000c D  1000f D  1000a D  0    0    0    
Set 	306:		1000c    10010    10013 D  1000f D  0    0    0    0    
Set 	307:		10013 D  1000f D  0    0    0    0    0    0    
